name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
"NutriSalud- Centro Multidisciplinar de nutrición, psiquiatria y psicología.","Rúa do Paraguai, 1, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 11 81 39,http://nutrisalud.es/,https://maps.google.com/?cid=7789232752776135715,"Nutrisalud es una clínica de nutrición multidisciplinar en Vigo, especializada en tratamientos nutricionales graves como trastornos de la conducta alimentaria, anorexia, bulimia y otros desórdenes alimentarios. Cuentan con unidades especializadas en patologías digestivas, obesidad y asesoramiento externo para empresas, charlas y conferencias. Su equipo está formado por psiquiatras, psicólogos clínicos, nutricionistas y entrenadores personales.

El público objetivo de Nutrisalud son pacientes con trastornos alimentarios, problemas de obesidad, patologías digestivas y empresas que buscan asesoramiento nutricional. Sus ventajas competitivas radican en su enfoque multidisciplinar, con un equipo especializado en diferentes áreas de la salud, y en su atención personalizada y continua a los pacientes y sus familias. Además, ofrecen la posibilidad de seguimiento online para aquellos pacientes que no pueden acudir presencialmente a la clínica.

En Nutrisalud, el enfoque principal es la atención al paciente y a sus familias de forma diaria y continua, promoviendo una alimentación consciente y un espacio de acompañamiento durante todo el proceso de tratamiento. Su compromiso con la salud y el bienestar de los pacientes se","['#3a3e4c', '#292e38', '#424755', '#79616e', '#313642']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-nutrisalud.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/nutrisalud.es_.png
Clínica adelgazamiento Dra. Sotelo,"Rúa de Urzáiz, 94, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 42 42 50,,https://maps.google.com/?cid=660295063328372859,,,,
Clinica Dr. Hortas,"Rúa de Urzáiz, 107, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 48 34 51,,https://maps.google.com/?cid=8947335648726983114,,,,
"Nutrendo, Centro Médico Nutricional Vigo","Rúa San Salvador, 2, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 41 47 45,http://www.nutrendo.es/,https://maps.google.com/?cid=6676810605022964144,"Nutrendo es un Centro Médico Nutricional en España que se especializa en el tratamiento del sobrepeso y la obesidad. Fundado en 2012 por la Dra. Ferrández, el centro ofrece un enfoque único que combina ciencia, personalización y acompañamiento integral para transformar la salud de sus pacientes.

Entre los servicios principales que ofrece Nutrendo se encuentran la Nutrición Clínica, la Unidad de Obesidad (Endobesidad), Nutrendo Sport, Nutrendo Educa y Nutrendo Empresas. Además, cuentan con programas específicos como el Programa ALLURION, el Programa SMART, Programas Endoscópicos y Programas de Cirugía Bariátrica.

El público objetivo de Nutrendo son personas que buscan perder peso de forma saludable y sostenible en el tiempo, bajo estricta supervisión médica. Las ventajas competitivas de Nutrendo radican en su método de cambio de hábitos personalizado, el seguimiento constante por parte de un equipo multidisciplinario y el enfoque integral que abarca aspectos físicos, nutricionales y emocionales para garantizar el éxito en la consecución de los objetivos de sus pacientes.","['#bcc0be', '#ecebe8', '#2d2522', '#728782', '#fcfcfc']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-nutrendo.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.nutrendo.es_.png
Dieta Coherente,"Rúa Caracas, 4, Bajo, Santiago de Vigo, 36203 Vigo, Pontevedra, Spain",Spain,986 11 45 17,http://www.dietacoherente.com/,https://maps.google.com/?cid=16236748977615829207,"Dieta Coherente es un negocio que ofrece servicios de nutricionista online, con el objetivo de promover hábitos alimentarios saludables y proporcionar información rigurosa sobre alimentación y nutrición de forma sencilla y cercana. Con más de 20 años de experiencia, cuentan con un equipo de nutricionistas que diseñan dietas personalizadas para ayudar a perder peso de manera rápida y equilibrada, validadas por la ISO 9001 y universidades reconocidas.

Los servicios principales que ofrece Dieta Coherente son las consultas online, planes mensuales, menús online y libros relacionados con la nutrición y la salud. Su público objetivo son personas que buscan perder peso de forma saludable, mejorar su alimentación, deportistas, embarazadas, personas con patologías específicas, vegetarianos, veganos, entre otros. Además, ofrecen seguimiento durante todo el proceso con trucos de coaching y motivación.

Las ventajas competitivas de Dieta Coherente radican en su experiencia de más de 20 años en el sector, la personalización de las dietas según las necesidades de cada cliente, la validación de sus servicios por entidades reconocidas, como la ISO 9001 y universidades, y la satisfacción de más de 100,000 clientes satisfechos que han logrado mejorar su salud con la ayuda","['#f7f8f7', '#97ba55', '#7f7f74', '#46402d', '#c5c5b1']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-dietacoherente.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.dietacoherente.com_.png
Nutricionista en Vigo. Natalia Albino,"Rúa do Paraguai, 1, Santiago de Vigo, 36204 Vigo, Pontevedra, Spain",Spain,986 11 81 39,,https://maps.google.com/?cid=4493798727292586351,,,,
Lucia Terzi Nutricionista,"Rúa de Barcelona, 83, bajo, Freijeiro, 36211 Vigo, Pontevedra, Spain",Spain,659 03 58 29,https://luciaterzi.com/,https://maps.google.com/?cid=965108882868382288,"Lucía Terzi es una nutricionista clínica especializada en psiconutrición que ofrece planes personalizados para alcanzar el peso deseado y mejorar el bienestar físico y mental de sus pacientes. Su enfoque se basa en escuchar atentamente a cada persona, adaptando sus intervenciones de dietoterapia a las necesidades fisiopatológicas y circunstancias vitales de cada uno. 

Los servicios principales que ofrece Lucía Terzi incluyen consultas individuales tanto online como presenciales, programas grupales online y un programa premium online. Además, se especializa en nutrición en digestivo, obesidad y sobrepeso, intolerancias y alergias, enfermedades autoinmunes, migraña, fatiga y déficit de DAO. 

El público objetivo de Lucía Terzi son personas que buscan alcanzar un peso saludable, mejorar su relación con la comida y trabajar en su bienestar físico y mental. Sus ventajas competitivas radican en su enfoque personalizado, su especialización en psiconutrición y su experiencia en el campo de la nutrición clínica. Además, su atención empática y su enfoque educativo hacia la nutrición la destacan como una profesional altamente recomendada por sus pacientes.","['#fefefe', '#e6ece1', '#c8c6b7', '#f1f3ef', '#9f9474']",https://business-finder-assets-2024.s3.amazonaws.com/logos/cropped-Logo-Iniciales-de-nombre-personal-minimalista-profesional-negro-150x105.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/luciaterzi.com_.png
CharroSalud Registro Saniatrio C-36-003449,"Rúa Cristo, 4, bajo, Lavadores, 36205 Vigo, Pontevedra, Spain",Spain,986 11 00 03,http://www.manuelportela.es/,https://maps.google.com/?cid=16766949458286288826,"El negocio en cuestión es una empresa dedicada a la fabricación y venta de muebles de diseño exclusivo y alta calidad. Su principal enfoque es ofrecer mobiliario moderno y elegante para hogares y oficinas, con un énfasis en la funcionalidad y el diseño innovador. La empresa se destaca por trabajar con materiales de primera calidad y por contar con un equipo de diseñadores creativos que crean piezas únicas y personalizadas para sus clientes.

Entre los servicios y productos principales que ofrece la empresa se encuentran la fabricación de sofás, mesas, sillas, armarios, estanterías y otros muebles de diseño contemporáneo. Además, la empresa también ofrece servicios de diseño de interiores y asesoramiento personalizado para ayudar a sus clientes a crear espacios únicos y acogedores. Se destacan por su atención al detalle, la alta calidad de sus productos y la capacidad de adaptarse a las necesidades y gustos de cada cliente.

El público objetivo de la empresa son personas que valoran el diseño y la calidad en los muebles de su hogar u oficina, y que buscan piezas exclusivas y personalizadas. Su clientela suele ser personas con un poder adquisitivo medio-alto, interesadas en invertir en mobiliario de alta gama y que buscan dar un toque único y sofistic","['#d6d3cd', '#fdfdfd', '#a8a39b', '#72593d', '#df9c57']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.manuelportela.es_.png
Rocío Portal - Centro Nutrición y Psicología en Vigo,"Rúa de Urzáiz, 31, 3º A, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,663 77 85 58,http://www.rocioportalnutricion.com/,https://maps.google.com/?cid=80712093813369035,"El Centro de Nutrición y Psicología en Vigo ofrece servicios especializados en trastornos alimentarios, dietoterapia en patologías, educación alimentaria, psiconutrición y psicología sanitaria. Su objetivo principal es acompañar a las personas a mejorar su salud integral, promoviendo una alimentación sin normas ni obsesiones y una relación saludable con la comida y el cuerpo. Se dirige a personas que buscan una alternativa a las dietas tradicionales y desean conectar con sus sensaciones de hambre y saciedad.

El público objetivo de este centro son personas que buscan una alimentación más amable y respetuosa con su cuerpo, que desean disfrutar de la comida sin prohibiciones y mejorar su relación con la alimentación. Las ventajas competitivas de este negocio radican en su enfoque de salud en todas las tallas, su abordaje integral que incluye tanto nutrición como psicología, y la personalización de los tratamientos para cada cliente. Además, cuentan con un equipo interdisciplinar de nutricionistas y psicólogas que trabajan de manera coordinada para ofrecer un tratamiento completo y efectivo.

En resumen, el Centro de Nutrición y Psicología en Vigo se destaca por su enfoque integral y personalizado en el tratamiento de trastornos alimentarios y","['#eae7d7', '#4b706b', '#fefefe', '#b5a286', '#513922']",https://business-finder-assets-2024.s3.amazonaws.com/logos/cropped-Rocio-Portal-Logomarca-principal-v1-125x71.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.rocioportalnutricion.com_.png
Nutrición Beatriz Dosdá. Dietista-Nutricionista Consultas PRESENCIALES Y ONLINE.,"C/ Barcelona, 78 Interior, FISIOTERAPIA PEJITO, Freijeiro, 36203 Vigo, Pontevedra, Spain",Spain,660 17 27 51,https://concienciacomo.com/,https://maps.google.com/?cid=4148940343616361172,"Beatriz Dosdá es una Dietista-Nutricionista y Tecnóloga de los Alimentos que ofrece servicios de nutrición personalizada, consultoría y asesoría nutricional, así como cursos y talleres relacionados con la alimentación saludable. Su enfoque se centra en promover una buena relación con la comida, sin obsesiones ni ansiedad, y sin culpas asociadas a la alimentación. 

Su público objetivo son personas interesadas en mejorar su alimentación, ya sea para alcanzar objetivos de salud específicos, aprender más sobre nutrición o simplemente adoptar hábitos alimenticios más saludables. Beatriz Dosdá se dirige tanto a individuos que buscan una atención personalizada en nutrición como a empresas del sector de la restauración colectiva que desean implementar menús saludables.

Las ventajas competitivas de Beatriz Dosdá radican en su formación como Tecnóloga de los Alimentos, lo que le permite ofrecer un enfoque integral en sus servicios nutricionales. Además, su enfoque en promover una relación saludable con la comida y su compromiso con la alimentación saludable como un aspecto divertido y libre de culpas, la destacan en un mercado saturado de consejos nutricionales restrictivos y poco realistas. Su variedad de servicios, que van desde la","['#6d7676', '#fbfbfa', '#332d28', '#bc7a4b', '#c4c4bd']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/concienciacomo.com_.png
