name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Grupo Profand,"Av. de García Barbón, 62, Bloque 1, Entreplanta, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,986 44 73 84,https://www.profand.com/,https://maps.google.com/?cid=14228614613178827062,"Profand es una empresa multinacional destacada en el sector pesquero mundial, especializada en la elaboración y procesamiento de productos del mar. La compañía muestra un fuerte compromiso con la innovación, destacando en la exploración de nuevas formas de comunicación y el futuro de la alimentación a través de iniciativas como el desarrollo de videos utilizando inteligencia artificial. Esta orientación hacia la innovación subraya su enfoque progresista y su dedicación a comunicar de manera efectiva el futuro de la alimentación, reflejando su posición líder en la industria pesquera global.","['#715938', '#f0efe8', '#a8aba7', '#49647d', '#1c2d4a']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Logo_Grupo_Profand_azul.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.profand.com_.png
Frigorificos Pereira,"Puerto Pesquero- Dársena 4, s/n, 36202 Vigo, Pontevedra, Spain",Spain,986 44 62 65,http://www.pereira.es/,https://maps.google.com/?cid=13799283736277606835,"Pereira Productos del Mar es una empresa destacada en la elaboración y comercialización de pescado congelado y marisco congelado de alta mar. Su catálogo de productos proviene de diversos caladeros del Océano Atlántico, asegurando una amplia variedad y la máxima calidad para el consumidor. Con un fuerte compromiso hacia la cadena de suministro ""desde el mar a su mesa"", Pereira se involucra directamente en todas las etapas del proceso, desde la captura hasta el producto final listo para el consumo.

Esta empresa se distingue por contar con una flota de buques congeladores, personal altamente cualificado y experto en calidad, factorías de procesado y transporte propio. Su presencia en los principales caladeros del Atlántico refuerza su capacidad para ofrecer productos del mar frescos y de alta calidad. La estrategia de Pereira Productos del Mar se centra en garantizar la sostenibilidad, la calidad y la confiabilidad, elementos clave que respaldan su promesa de ofrecer los mejores tesoros del mar a sus clientes.","['#3b3438', '#5f5f63', '#f4f5f4', '#78797b', '#221819']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-pereira.jpeg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.pereira.es_.png
Benteler,"Poligono Valladares Poligono Valladares, Parcelas 13-14, 36314 Vigo, Pontevedra, Spain",Spain,986 26 88 00,http://www.benteler.com/,https://maps.google.com/?cid=16251745105452430042,"BENTELER es un grupo empresarial internacional que destaca como líder pionero en la integración de la sostenibilidad en sus operaciones y cadena de valor. Desde su fundación en 1876, se ha especializado en el procesamiento de metales, aplicando su pasión por el material, las oportunidades de procesamiento que ofrece y los productos creados con él. BENTELER ha desarrollado una vasta competencia en productos de alta calidad a lo largo de toda la cadena de suministro, consolidándose como un proveedor clave de servicios tecnológicos y componentes automotrices, así como de productos de acero/tubo. La empresa se compromete firmemente con la producción de vehículos más seguros y sostenibles para el futuro de la movilidad.","['#252932', '#f3f4f4', '#474848', '#b1bfd3', '#8593a5']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.benteler.com_.png
Embalajes Vigo,"Rúa Menéndez Pelayo, 32, 36211 Vigo, Pontevedra, Spain",Spain,986 95 38 32,https://embalajesvigo.es/,https://maps.google.com/?cid=8849723680745481379,"Embalajes Vigo es una empresa especializada en la venta de materiales de embalaje. Con un marcado enfoque hacia la satisfacción de diversas necesidades de embalaje, la empresa ofrece una amplia gama de productos específicos para facilitar mudanzas, organizar almacenes, y realizar todo tipo de envíos. Su catálogo incluye cajas de cartón de diversos tamaños y fortalezas, film plástico, material de burbuja, relleno, fundas para colchones, y otras soluciones de embalaje. Destacan por su capacidad de ofrecer cajas de cartón a medida, adaptándose a proyectos específicos con requerimientos particulares de grandes volúmenes, lo que resalta la flexibilidad y personalización en su servicio al cliente.

Embalajes Vigo se posiciona como una entidad comprometida con la provisión de soluciones de embalaje de alta calidad, ofreciendo desde soluciones estándares hasta opciones personalizadas que responden a necesidades específicas, con un enfoque claro en la adaptabilidad y la atención al detalle para satisfacer a un amplio espectro de clientes, desde individuos en procesos de mudanza hasta empresas que requieren soluciones de embalaje para la logística y el transporte de mercancías.","['#fdfdfd', '#d0a93d', '#030302', '#785f9a', '#ebd78d']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Embalajes-Vigo.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/embalajesvigo.es_.png
Lear Corporation Vigo,"Rúa C, s/n, 36201 Vigo, Pontevedra, Spain",Spain,986 82 97 00,https://www.lear.com/,https://maps.google.com/?cid=647845566917479206,"Lear Corporation se posiciona como un líder global en el sector automotor, especializándose en Sistemas de Asientos y Sistemas Electrónicos (E-Systems), ofreciendo tecnologías avanzadas a los fabricantes de automóviles más reconocidos mundialmente. La compañía, con más de 100 años de historia, se destaca como el mayor proveedor de automoción basado en los Estados Unidos, definiendo el futuro de la movilidad a través de innovaciones en sistemas de asientos y sistemas electrónicos.

Lear Corporation se enorgullece de su cultura organizacional, con un equipo talentoso comprometido en impulsar la innovación, alcanzar la excelencia operativa y avanzar en la sostenibilidad. La empresa ha sido reconocida por sus innovaciones galardonadas y está dedicada a mejorar cada experiencia de conducción a través de sus contribuciones al sector automotriz.

Además, Lear Corporation ha sido premiada con el Automotive News PACE Award en 2025 por su innovador Módulo de Control de Zona y ha recibido reconocimientos por sus resultados financieros en el primer trimestre de 2025. Este logro subraya su compromiso con la excelencia y la capacidad para mantenerse a la vanguardia en un sector altamente competitivo y en constante evolución.

En el ámbito de la sostenibilidad y el compromiso social, Lear Corporation se esfuerza cotidianamente por reducir su impacto ambiental, apoyar a comunidades y mejorar sus prácticas sostenibles, con esfuerzos liderados por su presidente y CEO, Ray Scott. La empresa también ofrece oportunidades de carrera motivadoras, fomentando un entorno de trabajo colaborativo que impulsa el éxito global y fomenta la excelencia entre sus empleados.

Lear Corporation se mantiene como un pilar de innovación, sostenibilidad y éxito dentro del sector automotriz, demostrando un compromiso constante con la mejora de la experiencia de conducción y el avance hacia un futuro más sostenible .","['#f9fafa', '#252e3a', '#888681', '#55595a', '#beb9b2']",https://business-finder-assets-2024.s3.amazonaws.com/logos/6019e43dcfad3cda2341797d_lear%20original%20logo.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.lear.com_.png
Cercaplast,"Rúa Doutor Toscano, 1, Lavadores, 36205 Vigo, Pontevedra, Spain",Spain,,,https://maps.google.com/?cid=7395814244916297507,,,,
GKN Driveline,"Rúa de Citroën, 5, 36210 Vigo, Pontevedra, Spain",Spain,986 90 88 00,http://www.gknautomotive.com/,https://maps.google.com/?cid=12149271121032620247,"GKN Automotive se presenta como un líder global en el sector tecnológico automotriz, destacándose por su extensa experiencia y capacidad de innovación extendida por todo el mundo. Durante más de 260 años, ha sido un socio confiable para el 90% de las empresas automotrices a nivel mundial, especializándose en el desarrollo y suministro de tecnologías de sistemas de propulsión líderes en el mercado, desde ejes de transmisión hasta sistemas avanzados de gestión de torque, a la vez que proporciona experiencia en la integración de sistemas. Esta historia de innovación ha habilitado desarrollos significativos en la industria, como los vehículos de tracción delantera y sistemas de tracción integral más eficientes, que han pavimentado el camino para el desarrollo de sus sistemas eDrive de alto rendimiento.

Como arquitecto de un futuro electrificado, la innovación de GKN Automotive, su experiencia y alcance global le otorgan la capacidad de promover un mundo más limpio y sostenible. La empresa emplea aproximadamente a 24,000 personas en empresas conjuntas, posee 48 sitios de manufactura y 5 centros tecnológicos globales. En el año 2024, su proyección de ventas alcanza aproximadamente las 3.9 mil millones de libras esterlinas., manteniéndose activa en 21 países que incluyen empresas conjuntas.

GKN Automotive ha sido reconocida por su progreso hacia objetivos de sostenibilidad, evidenciado por una calificación de oro otorgada por sus avances en esta área. Además, se han comprometido con iniciativas ambientales como la firma de un Acuerdo de Compra de Energía Virtual con Recurrent Energy para cubrir el 65% de la carga eléctrica europea y han logrado reducir directamente las emisiones de CO2e en un 10.5% en 2023.

La empresa también está invirtiendo en la próxima generación de ingenieros a través de la apertura de Laboratorios de Innovación STEM en India, diseñados para inspirar a futuros ingenieros. Este compromiso con la innovación, la sostenibilidad y el desarrollo de ta...","['#fefefe', '#989797', '#eaeaea', '#a93731', '#c0bebe']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.gknautomotive.com_.png
MCSyncro,"Zona Franca de Nave 1, 36208 Vigo, Pontevedra, Spain",Spain,986 21 41 72,,https://maps.google.com/?cid=15078012361176274836,,,,
"Envases Universales Iberica, S.L.U.","Bajada Gándara, 32, 36330 Vigo, Pontevedra, Spain",Spain,986 29 26 00,https://www.envases.mx/es/,https://maps.google.com/?cid=3059923262301882968,"Envases Universales Ibérica S.L.U. se posiciona como líder mundial en soluciones de embalaje globales, especializándose en empaque sustentable, protección climática, e iniciativas humanas y de entorno laboral. Están comprometidos con incrementar la sustentabilidad de sus envases mediante soluciones innovadoras, además de hacer crecer su empresa mientras minimizan su impacto ambiental. Se destacan por asegurar el trato digno y respetuoso hacia todas las personas.

La empresa ha expandido su presencia internacional con la adquisición de Domiberia, la cual es la segunda mayor empresa española de envases metálicos operando seis plantas en su mercado local y una en los Países Bajos, con un equipo de más de 600 personas. Han ingresado al mercado estadounidense de latas de aluminio para bebidas con una nueva planta en Waco, aprovechando su ubicación estratégica.

El Grupo Envases también ha anunciado la adquisición de Huber Packaging Group, ampliando así su cartera de soluciones de envasado. En términos de sostenibilidad, han publicado un Informe Anual para el año 2024 que detalla sus esfuerzos y compromisos hacia prácticas sostenibles.

En resumen, Envases Universales Ibérica S.L.U. es una empresa progresiva enfocada en el desarrollo de soluciones de embalaje innovadoras y sustentables, con un fuerte compromiso hacia la responsabilidad ambiental y social. Su expansión y adquisiciones recientes subrayan su posición dominante en el mercado global de envases.","['#454545', '#f5f5f5', '#32120f', '#b6aead', '#303131']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.envases.mx_es_.png
Plásticos Técnicos Plastmeca,"Rúa do Faisán, 19, Local 11, Sárdoma, 36205 Vigo, Pontevedra, Spain",Spain,660 17 49 68,https://www.plastmeca.com/,https://maps.google.com/?cid=12370829599000518466,"Plastmeca es una empresa especializada en el mecanizado de plásticos y elastómeros, ubicada en Vigo, Pontevedra. Se distingue por ofrecer un servicio integral que abarca desde el diseño hasta el mecanizado de piezas de plástico, sirviendo a toda la provincia de Pontevedra, así como al resto de Galicia y a Portugal. A través de técnicas avanzadas de fabricación, Plastmeca garantiza resultados de alta calidad, adaptándose a los requerimientos específicos de cada cliente mediante el diseño y programación de piezas a medida en 2D.

Una de las fortalezas clave de Plastmeca es su capacidad de realizar entregas en plazos cortos, lo que la diferencia notablemente de la competencia. La empresa también promueve valores de perfección y eficacia en cada proyecto, respaldada por un equipo profesional y una larga experiencia en el sector. Además, trabaja con 45 fábricas diferentes, lo que le permite ofrecer una amplia variedad de materiales y soluciones en el menor tiempo posible a sus clientes. Plastmeca también cuenta con un almacén propio para disponer de un stock variado y realizar cortes en cualquier medida y espesor de plásticos, manteniéndose a la vanguardia de la tecnología en el campo del mecanizado plástico .

Esta compañía no solo sirve a industrias que requieren aplicaciones específicas de mecanizado de plásticos, sino también a aquellos en busca de soluciones prácticas y económicas para sus necesidades de proyectos plásticos, evidenciando un compromiso con la innovación y la satisfacción del cliente.","['#a3b3ae', '#eff5f9', '#312f2c', '#3461a8', '#ebbb45']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.plastmeca.com_.png
